Sample Name	Monocytes	Bcells	CD4Tcells	NK	CD8Tcells	Unknown
GSM3401977	0.17253436	0.0185	0.227708	0.20496564	0.247036	0.129256
GSM3402008	0.11565679	0.118	0.424474	0.020343203	0.252148	0.069378007
GSM3402021	0.14679693	0.0265	0.372364	0.09370308	0.230895	0.12974099
GSM3401914	0.15251383	0.06792369	0.33605587	0.12461376	0.24412793	0.07476492
GSM3401898	0.11271967	0.0602	0.355509	0.20008032	0.201267	0.07022401
GSM3401913	0.15251383	0.06792369	0.33605587	0.12461376	0.24412793	0.07476492
GSM3401934	0.07458863	0.0218	0.63457	0.013611371	0.22428	0.031149999
GSM3402013	0.14217919	0.0326	0.332782	0.09222081	0.317389	0.082829
GSM3401893	0.067626245	0.0537	0.49224	0.03867376	0.2814	0.066359995
GSM3401826	0.010011897	0.0236	0.44588	0.2563881	0.2414	0.0227200029999998
GSM3401937	0.1907152	0.152	0.299228	0.031284805	0.282952	0.043819995
GSM3402043	0.090494834	0.0951	0.29848	0.15840517	0.274864	0.0826559959999999
GSM3402038	0.12443306	0.106	0.360525	0.010566935	0.282348	0.116127005
GSM3401847	0.046818357	0.0777	0.5677	0.064481646	0.175176	0.068123997
GSM3401927	0.10237029	0.026	0.452154	0.029629711	0.313224	0.0766219989999998
GSM3401952	0.17560805	0.0655	0.376607	0.021891946	0.293326	0.0670670039999999
GSM3401939	0.057235148	0.142	0.401128	0.04676485	0.31668	0.0361920019999999
GSM3402015	0.13224438	0.0659	0.118802	0.41985562	0.191764	0.071434
GSM3401869	0.10422067	0.11	0.466992	0.033779327	0.231616	0.0533920029999999
GSM3402053	0.20985149	0.152	0.409375	0.013148508	0.155	0.0606250019999999
GSM3401958	0.08697662	0.0857	0.520965	0.06232338	0.16218	0.081855
GSM3402046	0.03897736	0.0415	0.406614	0.11752264	0.341652	0.0537339999999999
GSM3401938	0.057235148	0.142	0.401128	0.04676485	0.31668	0.0361920019999999
GSM3401955	0.021863636	0.0765	0.405019	0.21863636	0.185776	0.0922050039999999
GSM3401982	0.09620119	0.0157	0.552024	0.14009881	0.148852	0.047124
GSM3401957	0.11180263	0.153	0.427134	0.18119738	0.103598	0.02326799
GSM3401975	0.10297071	0.123	0.392409	0.03502929	0.24387	0.1027209999999999
GSM3401907	0.08808603	0.0325	0.526212	0.03341397	0.280872	0.0389159999999999
GSM3402003	0.08557412	0.0359	0.34384	0.31852588	0.16968	0.04648
GSM3402041	0.090494834	0.0951	0.29848	0.15840517	0.274864	0.0826559959999999
GSM3401812	0.09319055	0.06792369	0.4398474	0.094543666	0.2414019	0.0630927940000001
GSM3401816	0.19320534	0.0821	0.36465	0.17469466	0.13805	0.0473
GSM3401811	0.09319055	0.06792369	0.4398474	0.094543666	0.2414019	0.0630927940000001
GSM3401985	0.15820362	0.0681	0.283679	0.07669637	0.317832	0.0954890100000001
GSM3401850	0.09319055	0.06792369	0.4398474	0.094543666	0.2414019	0.0630927940000001
GSM3402001	0.041486733	0.0285	0.45682	0.020013267	0.40131	0.0518699999999998
GSM3401854	0.080061	0.0707	0.532597	0.076239	0.156919	0.0834840000000001
GSM3401993	0.11433267	0.123	0.272172	0.31866732	0.133644	0.03818401
GSM3401963	0.19957764	0.231	0.226058	0.087422356	0.182196	0.0737460039999999
GSM3401983	0.14851418	0.102	0.192268	0.07248582	0.42651	0.0582219999999999
GSM3401899	0.0545043	0.0472	0.459435	0.0552957	0.314439	0.0691259999999999
GSM3401892	0.067626245	0.0537	0.49224	0.03867376	0.2814	0.066359995
